tech,post_id,url,view_count,title
windows,38779,https://stackoverflow.com/questions/38779,6282,What SPN do I need to set for a net.tcp service?
delphi,38784,https://stackoverflow.com/questions/38784,3474,Visual Studio equivalent to Delphi bookmarks
visual studio,38784,https://stackoverflow.com/questions/38784,3474,Visual Studio equivalent to Delphi bookmarks
asp.net,38789,https://stackoverflow.com/questions/38789,4406,Web Service Namespace Dynamic Naming
c#,38789,https://stackoverflow.com/questions/38789,4406,Web Service Namespace Dynamic Naming
sql,38801,https://stackoverflow.com/questions/38801,28274,SQL - How to store and navigate hierarchies?
oracle,38801,https://stackoverflow.com/questions/38801,28274,SQL - How to store and navigate hierarchies?
sql,38822,https://stackoverflow.com/questions/38822,4430,"Best full text search alternative to MS SQL, C++ solution"
java,38822,https://stackoverflow.com/questions/38822,4430,"Best full text search alternative to MS SQL, C++ solution"
.net,38822,https://stackoverflow.com/questions/38822,4430,"Best full text search alternative to MS SQL, C++ solution"
c++,38822,https://stackoverflow.com/questions/38822,4430,"Best full text search alternative to MS SQL, C++ solution"
asp.net,38824,https://stackoverflow.com/questions/38824,1181,Is Wiki Content Portable?
xml,38824,https://stackoverflow.com/questions/38824,1181,Is Wiki Content Portable?
php,38838,https://stackoverflow.com/questions/38838,16343,Two-way password encryption without ssl
javascript,38838,https://stackoverflow.com/questions/38838,16343,Two-way password encryption without ssl
c#,38842,https://stackoverflow.com/questions/38842,9077,How to do a simple mail merge in OpenOffice
c++,38842,https://stackoverflow.com/questions/38842,9077,How to do a simple mail merge in OpenOffice
windows,38861,https://stackoverflow.com/questions/38861,971,Will this hardware be 64bit Windows Server 2008 compatible?
windows server,38861,https://stackoverflow.com/questions/38861,971,Will this hardware be 64bit Windows Server 2008 compatible?
windows,38864,https://stackoverflow.com/questions/38864,6371,How do you find out which NIC is connected to the internet?
php,38875,https://stackoverflow.com/questions/38875,26698,Best way to avoid code injection in PHP
sql,38875,https://stackoverflow.com/questions/38875,26698,Best way to avoid code injection in PHP
mssql,38890,https://stackoverflow.com/questions/38890,1890,Enforce constraint checking only when inserting rows in MSSQL?
ruby,38901,https://stackoverflow.com/questions/38901,290,Strange Rails Authentication Issue
rails,38901,https://stackoverflow.com/questions/38901,290,Strange Rails Authentication Issue
eclipse,38907,https://stackoverflow.com/questions/38907,533,"Developing on Eclipse 3.4, running on Eclipse 3.3"
gmail,38920,https://stackoverflow.com/questions/38920,13531,"php mail() not working windows 2003, IIS SMTP"
php,38920,https://stackoverflow.com/questions/38920,13531,"php mail() not working windows 2003, IIS SMTP"
windows,38920,https://stackoverflow.com/questions/38920,13531,"php mail() not working windows 2003, IIS SMTP"
windows server,38920,https://stackoverflow.com/questions/38920,13531,"php mail() not working windows 2003, IIS SMTP"
rails,38922,https://stackoverflow.com/questions/38922,279,Running DB Migrations from application
ruby,38922,https://stackoverflow.com/questions/38922,279,Running DB Migrations from application
macos,38934,https://stackoverflow.com/questions/38934,26667,How to take screenshot in Mac OS X using Cocoa or C++
mac os x,38934,https://stackoverflow.com/questions/38934,26667,How to take screenshot in Mac OS X using Cocoa or C++
c++,38934,https://stackoverflow.com/questions/38934,26667,How to take screenshot in Mac OS X using Cocoa or C++
mysql,38940,https://stackoverflow.com/questions/38940,2032,Generate field in MySQL SELECT
sql,38940,https://stackoverflow.com/questions/38940,2032,Generate field in MySQL SELECT
